tof,no_tof,tariff
164.9849999999997,621.9980000000003,0.1176
150.167,577.8930000000007,0.1176
140.089,531.5500000000002,0.1176
126.31900000000006,493.83700000000067,0.1176
113.14200000000005,452.91699999999963,0.1176
109.88899999999998,413.00800000000027,0.1176
103.23499999999999,379.8300000000003,0.1176
97.05700000000017,358.7840000000004,0.1176
89.28900000000006,340.9899999999994,0.1176
86.49900000000011,331.3199999999996,0.1176
82.98100000000002,326.99700000000064,0.1176
82.83599999999996,331.771,0.1176
82.11799999999995,346.7909999999998,0.1176
86.519,374.60499999999956,0.1176
91.66600000000007,388.5269999999991,0.1176
102.09600000000012,416.781,0.1176
114.72600000000007,448.56399999999843,0.1176
125.013,486.8289999999993,0.1176
135.57499999999993,524.1390000000022,0.1176
149.18100000000004,566.0699999999999,0.1176
160.896,608.1020000000005,0.1176
167.845,639.1870000000006,0.1176
179.04699999999988,669.9679999999987,0.1176
187.21599999999987,701.356999999999,0.1176
183.36699999999996,718.3230000000001,0.1176
184.8449999999999,731.1979999999984,0.1176
191.06600000000006,753.393999999999,0.1176
190.44399999999996,745.5340000000003,0.1176
185.58400000000006,734.4479999999984,0.1176
189.90099999999993,746.0839999999979,0.1176
192.78899999999993,759.3630000000003,0.1176
203.73299999999986,784.1819999999973,0.1176
215.10999999999973,815.8209999999988,0.1176
240.40199999999987,913.2899999999997,0.1176
253.42699999999994,980.8909999999988,0.1176
268.3150000000001,1049.0459999999998,0.1176
282.16699999999963,1079.2629999999997,0.1176
295.57499999999993,1081.0520000000001,0.1176
284.16100000000046,1064.6970000000003,0.1176
288.49500000000006,1053.668,0.1176
280.4779999999997,1031.3799999999994,0.1176
266.9260000000002,983.8819999999981,0.1176
252.3269999999999,958.3879999999973,0.1176
242.73600000000016,933.9160000000005,0.1176
235.139,895.9180000000002,0.1176
226.34799999999984,837.2799999999983,0.1176
199.43599999999986,759.4759999999983,0.1176
176.95699999999974,670.9249999999998,0.1176
144.79999999999987,585.7340000000002,0.1176
123.08400000000016,498.48099999999954,0.1176
108.55800000000004,449.99699999999973,0.1176
93.26200000000011,401.1,0.1176
84.96599999999991,369.884999999999,0.1176
82.03900000000006,339.43699999999933,0.1176
78.07899999999995,332.10100000000006,0.1176
77.80699999999999,331.08099999999945,0.1176
76.06599999999993,322.18199999999956,0.1176
78.45400000000014,322.7430000000003,0.1176
84.59500000000003,319.83899999999966,0.1176
86.05800000000009,339.1270000000001,0.1176
87.60499999999996,365.4049999999996,0.1176
100.72499999999994,418.82899999999984,0.1176
113.2549999999999,458.8029999999995,0.1176
131.96999999999994,516.9259999999995,0.1176
142.81999999999988,571.6369999999984,0.1176
162.0030000000001,616.3199999999995,0.1176
170.84599999999978,630.5250000000013,0.1176
167.88799999999995,657.2529999999995,0.1176
175.0900000000002,656.2130000000004,0.1176
176.68300000000002,661.503,0.1176
173.91800000000003,674.6590000000008,0.1176
171.34899999999993,694.3789999999995,0.1176
172.51499999999996,703.2089999999996,0.1176
178.20800000000014,733.5670000000006,0.1176
187.3270000000003,751.3390000000013,0.1176
198.99199999999973,743.9209999999989,0.1176
186.21599999999998,734.0750000000007,0.1176
200.096,731.0059999999993,0.1176
202.501,742.6549999999978,0.1176
196.8619999999996,779.139999999999,0.1176
204.69400000000007,824.6190000000009,0.1176
224.4679999999997,881.8269999999978,0.1176
246.89599999999982,949.4979999999973,0.1176
263.4360000000001,1009.0360000000009,0.1176
272.2189999999996,1055.8290000000013,0.1176
279.3810000000003,1088.2329999999997,0.1176
285.96500000000015,1095.7080000000008,0.1176
282.56200000000007,1079.2980000000014,0.1176
284.615,1074.6719999999993,0.1176
270.69300000000004,1042.075999999999,0.1176
260.894,1002.1009999999981,0.1176
242.6120000000002,950.154000000002,0.1176
237.44799999999987,896.3710000000009,0.1176
232.16900000000007,843.5589999999987,0.1176
206.80999999999997,746.514999999998,0.1176
175.46900000000002,651.7650000000002,0.1176
154.033,564.9639999999998,0.1176
127.10700000000007,481.63700000000017,0.1176
107.06100000000012,431.5050000000004,0.1176
100.88800000000006,387.8869999999991,0.1176
93.42800000000007,357.2289999999998,0.1176
89.40900000000009,344.240999999999,0.1176
85.66700000000009,322.551,0.1176
81.74000000000014,316.6289999999997,0.1176
79.02700000000003,307.47000000000077,0.1176
77.40299999999993,308.33200000000073,0.1176
81.3630000000001,313.3189999999994,0.1176
82.23600000000002,334.1109999999988,0.1176
85.96500000000003,369.11600000000016,0.1176
104.117,424.4659999999992,0.1176
119.47999999999993,469.4169999999999,0.1176
142.52000000000004,535.8260000000004,0.1176
154.66599999999983,571.3560000000007,0.1176
163.76800000000011,620.1590000000006,0.1176
162.79400000000015,633.7179999999996,0.1176
165.37900000000016,634.6639999999999,0.1176
166.7900000000001,632.300999999999,0.1176
162.90799999999984,645.3809999999985,0.1176
162.063,624.7360000000003,0.1176
165.84300000000007,639.8999999999999,0.1176
159.0840000000003,653.2159999999984,0.1176
164.10599999999997,675.0250000000003,0.1176
152.18400000000003,667.087999999999,0.1176
154.6800000000002,654.9799999999993,0.1176
155.00499999999997,638.6960000000014,0.1176
160.04700000000005,658.5659999999998,0.1176
165.57999999999993,649.3889999999997,0.1176
172.2140000000001,662.1139999999989,0.1176
190.84199999999993,725.5990000000004,0.1176
208.85700000000017,801.0200000000009,0.1176
228.80900000000028,903.589999999999,0.1176
245.37799999999987,989.255,0.1176
272.36699999999996,1021.1419999999985,0.1176
277.5720000000005,1045.4950000000015,0.1176
283.4179999999998,1056.7189999999998,0.1176
277.6229999999998,1045.3240000000005,0.1176
270.38100000000003,1013.992000000002,0.1176
261.5309999999999,981.2050000000003,0.1176
252.7259999999999,958.5159999999994,0.1176
243.6050000000002,914.9159999999982,0.1176
219.1080000000001,867.9369999999998,0.1176
213.9680000000002,820.4569999999997,0.1176
198.4359999999999,741.4770000000005,0.1176
173.31100000000023,643.4909999999992,0.1176
144.6330000000001,564.5629999999989,0.1176
124.97000000000011,486.2930000000002,0.1176
107.62200000000007,423.5090000000004,0.1176
91.86800000000008,380.7090000000002,0.1176
83.79000000000015,357.1950000000005,0.1176
81.74200000000003,335.73999999999927,0.1176
78.78300000000007,318.9950000000001,0.1176
75.08999999999988,314.58999999999935,0.1176
76.58399999999995,303.84300000000036,0.1176
74.13700000000004,305.89100000000025,0.1176
75.41400000000002,308.52599999999995,0.1176
79.14200000000014,327.51499999999976,0.1176
83.05999999999993,354.66499999999985,0.1176
95.63700000000009,404.63999999999965,0.1176
115.99200000000022,469.3899999999994,0.1176
137.49300000000008,535.8590000000002,0.1176
154.6780000000001,587.1990000000017,0.1176
165.31799999999987,659.4009999999994,0.1176
158.964,661.5399999999995,0.1176
161.22300000000018,642.8399999999981,0.1176
151.59400000000016,636.3770000000006,0.1176
145.5670000000002,639.5539999999982,0.1176
148.40999999999988,638.0319999999994,0.1176
148.1969999999999,649.1040000000011,0.1176
149.47700000000026,631.1330000000011,0.1176
149.63500000000013,642.564999999999,0.1176
153.85600000000014,644.7980000000006,0.1176
154.03700000000003,664.2479999999985,0.1176
158.80100000000004,665.9220000000001,0.1176
245.49099999999976,651.0110000000014,0.0399
244.80200000000016,669.1289999999999,0.0399
248.85500000000016,676.733,0.0399
256.82000000000033,718.0559999999983,0.0399
271.9050000000001,813.1719999999989,0.0399
281.17299999999994,893.9210000000015,0.0399
273.48000000000013,972.5579999999998,0.1176
272.85299999999967,1009.0049999999995,0.1176
273.5689999999999,1033.9099999999992,0.1176
276.0510000000003,1046.4209999999996,0.1176
272.6369999999999,1030.8899999999987,0.1176
259.939,1021.8219999999983,0.1176
241.73600000000005,969.8310000000013,0.1176
235.7790000000002,936.283999999998,0.1176
230.11300000000043,898.8760000000003,0.1176
221.829,866.5450000000002,0.1176
206.86999999999983,821.0939999999999,0.1176
191.3349999999998,756.173999999999,0.1176
166.955,661.7709999999984,0.1176
140.9440000000002,584.0259999999988,0.1176
120.66700000000013,522.9469999999998,0.1176
112.89099999999995,455.08899999999977,0.1176
98.83700000000002,401.7180000000013,0.1176
89.00800000000018,370.7050000000004,0.1176
87.76899999999998,345.8379999999995,0.1176
82.35199999999993,322.56899999999945,0.1176
79.50699999999995,313.93499999999943,0.1176
77.65900000000003,305.4110000000004,0.1176
80.049,309.4170000000002,0.1176
82.56800000000005,301.77800000000013,0.1176
82.73200000000014,318.23900000000003,0.1176
85.11600000000016,339.43600000000055,0.1176
90.574,371.212,0.1176
102.58000000000013,408.57799999999907,0.1176
120.61999999999993,448.8170000000004,0.1176
134.29300000000006,514.8520000000002,0.1176
148.62100000000007,584.0049999999999,0.1176
152.65299999999993,634.0969999999991,0.1176
160.71300000000008,677.0169999999995,0.1176
174.48999999999984,679.173999999999,0.1176
176.69500000000005,698.6180000000016,0.1176
175.4660000000002,722.483,0.1176
173.6399999999999,731.1839999999983,0.1176
177.14099999999988,719.5370000000005,0.1176
179.20000000000005,761.7409999999985,0.1176
199.47899999999993,756.1229999999998,0.1176
189.53499999999983,763.3939999999994,0.1176
181.75100000000015,751.8740000000008,0.1176
177.8150000000001,751.6400000000008,0.1176
189.82800000000015,752.2639999999999,0.1176
197.7409999999999,757.0309999999997,0.1176
200.48900000000015,806.1029999999977,0.1176
221.69800000000004,881.840999999999,0.1176
237.77199999999996,939.6770000000001,0.1176
252.46999999999983,992.3149999999993,0.1176
261.8709999999999,1039.6249999999975,0.1176
293.4850000000001,1072.090999999999,0.1176
282.11599999999964,1061.6829999999989,0.1176
270.8139999999996,1047.616999999998,0.1176
246.60199999999995,996.4609999999985,0.1176
238.31699999999978,970.2069999999984,0.1176
233.89700000000008,929.3759999999985,0.1176
227.0910000000001,890.4250000000005,0.1176
222.2959999999997,841.5610000000006,0.1176
210.91200000000018,806.2979999999986,0.1176
202.32200000000014,755.3239999999995,0.1176
175.03600000000023,681.4589999999998,0.1176
152.42499999999976,609.8260000000005,0.1176
133.8890000000002,545.1969999999986,0.1176
115.74300000000008,474.77499999999986,0.1176
105.85700000000007,420.47600000000045,0.1176
90.97400000000003,379.0770000000004,0.1176
84.34899999999996,355.30199999999957,0.1176
80.57600000000002,330.48500000000024,0.1176
77.07299999999987,314.2020000000002,0.1176
75.00999999999996,311.49999999999955,0.1176
73.33100000000009,303.6989999999995,0.1176
78.23099999999995,303.1320000000001,0.1176
78.70799999999997,311.90800000000013,0.1176
82.5299999999999,329.77299999999974,0.1176
86.87600000000012,363.1639999999993,0.1176
98.68700000000004,397.5279999999995,0.1176
111.49000000000001,428.77699999999965,0.1176
124.94599999999996,472.45299999999975,0.1176
147.12899999999996,569.3879999999997,0.1176
157.39399999999995,616.7509999999997,0.1176
169.11299999999994,670.7489999999991,0.1176
179.85600000000014,723.1119999999995,0.1176
188.41199999999995,749.8989999999991,0.1176
183.20400000000015,774.0600000000014,0.1176
187.51800000000003,785.2369999999994,0.1176
198.0639999999999,776.3000000000004,0.1176
215.69399999999987,817.204,0.1176
227.46800000000005,866.5639999999995,0.1176
227.68700000000007,884.1729999999992,0.1176
227.60500000000047,892.9750000000003,0.1176
217.32599999999994,867.9690000000014,0.1176
214.42599999999985,877.2689999999986,0.1176
224.25799999999995,878.7450000000014,0.1176
234.36000000000016,912.7670000000007,0.1176
254.0229999999999,970.5190000000003,0.1176
273.1050000000002,1035.8250000000012,0.1176
296.12899999999985,1088.6819999999989,0.1176
294.50099999999986,1101.5260000000014,0.1176
306.4130000000002,1126.870000000001,0.1176
304.01100000000014,1100.275000000001,0.1176
294.1939999999999,1085.1389999999972,0.1176
274.187,1046.501000000001,0.1176
259.09100000000007,1027.8140000000012,0.1176
248.54599999999994,1001.4589999999998,0.1176
243.6310000000003,930.7019999999999,0.1176
232.72699999999986,892.8229999999978,0.1176
220.53500000000008,818.8659999999995,0.1176
192.04400000000015,730.8120000000005,0.1176
165.249,614.2579999999988,0.1176
138.7409999999999,522.6249999999994,0.1176
118.53699999999999,458.5110000000008,0.1176
102.83900000000007,398.42000000000075,0.1176
85.66199999999999,359.2449999999992,0.1176
79.56299999999996,334.53999999999985,0.1176
76.08299999999997,314.7630000000008,0.1176
71.07299999999998,305.90000000000015,0.1176
70.07600000000004,300.684,0.1176
